order_id,payment_sequential,payment_type,payment_installments,payment_value,profit
QLqDouIaUQyr,1,wallet,1,237.31,28.48
pKPwllWcu4W3,1,credit_card,1,625.59,75.07
8WTKsujGSPr0,1,credit_card,3,89.42,10.73
NTvOc3tRPuW5,1,credit_card,1,189.42,22.73
Io6QaiAgVYoZ,2,voucher,1,48.75,5.85
Xknxc0MlpwU6,1,credit_card,2,371.18,44.54
TmyZSJp1HpV7,1,credit_card,1,79.63,9.56
GNz6cxwDUyoM,1,wallet,1,160.22,19.23
t0EtYo45Wcw7,1,credit_card,1,81.32,9.76
uCkWTkJzyQRA,1,credit_card,3,317.95,38.15
kHpIb3Vhkr2B,1,credit_card,1,118.17,14.18
JHwaDSRd7Yqk,1,credit_card,5,1418.86,170.26
PqlLQqphGWMG,1,credit_card,3,217.53,26.10
J8Bc43diiiwa,1,credit_card,1,746.65,89.60
T4K1lnPN7lH9,1,credit_card,3,24.2,2.90
qFGvBA8siR9C,1,credit_card,1,223.3,26.80
DTG8rFMgpHXy,1,credit_card,4,113.71,13.65
EzLqwURTMESq,1,wallet,1,0.74,0.09
VfPfevghWKRz,1,credit_card,1,35.79,4.29
RrMH1HzjPDUy,1,credit_card,2,42.5,5.10
dgXkaqn9QIyl,1,credit_card,10,317.4,38.09
GkihidwfzkNV,1,credit_card,1,238.12,28.57
vl4sZM3Me2dI,1,wallet,1,333.48,40.02
uKdtgTIV8ML0,1,wallet,1,167.2,20.06
Tao6yqzZqR8i,1,credit_card,4,12.65,1.52
CRAW5FHTgef2,1,credit_card,5,101.55,12.19
hToNiABH0dXp,1,credit_card,10,97.02,11.64
mUZI3vHznWIA,1,credit_card,7,142.8,17.14
xgFgAUrPUHEk,1,wallet,1,134.32,16.12
JgAkkK19yYhw,1,wallet,1,475,57.00
3CD8klhI6sv6,1,wallet,1,118.55,14.23
yA6ye44VAqXT,1,credit_card,3,1423.54,170.82
pshOBIa9uNaK,1,wallet,1,860.4,103.25
SpFKAoPp0ilG,1,debit_card,1,33.39,4.01
hwV9K6iZVgnh,1,credit_card,4,84,10.08
DBPnEuQDFDVb,1,credit_card,10,62.94,7.55
CM47ksrL2R8A,1,credit_card,1,284.06,34.09
6otDC7qi8cZh,1,credit_card,8,305.78,36.69
wq3LDwK546wG,1,credit_card,1,8,0.96
w4jk8j2fTnhw,1,voucher,1,320.61,38.47
tZoVpxv5FVIH,1,credit_card,1,545.17,65.42
tFQGjmZndsM5,1,credit_card,1,1221.39,146.57
nblJwrll1AS0,1,wallet,1,129.32,15.52
3vx9j3SvRUKg,1,wallet,1,381.32,45.76
OPuvw5JcjfOh,1,credit_card,6,116.81,14.02
kVpTE6tUo9w7,1,wallet,1,1416.7,170.00
NecsYKNR6nba,1,credit_card,4,176.94,21.23
fnSFBmKlfG9i,1,credit_card,10,39.9,4.79
u2oKzCyv9sav,1,credit_card,1,222.7,26.72
OtV6waAZRqcN,1,credit_card,2,342.02,41.04
vhdr4kEZVJXi,1,credit_card,3,512.9,61.55
kyeIOoUKvoIM,1,wallet,1,187.84,22.54
VZvjDMifWUUk,1,credit_card,3,187.08,22.45
GewZicdnVU4o,1,credit_card,5,503,60.36
paJO30kb5azy,1,wallet,1,96.25,11.55
Co6YY9CSER9B,1,wallet,1,665.87,79.90
1ADWBenqZlyI,1,credit_card,1,12.26,1.47
YKY495iYCoqG,1,credit_card,10,220.63,26.48
MV5sovfkXA3U,1,credit_card,2,126.54,15.18
jQBSgqRWOpvl,1,wallet,1,294.3,35.32
CtWqYNGFXvab,1,credit_card,2,22.86,2.74
obrJjCEHkABU,1,credit_card,4,1936.99,232.44
BmKm8T53Heik,1,debit_card,1,384.78,46.17
WMaeamcmMFS7,1,credit_card,2,95.61,11.47
80zasKxvt11B,1,credit_card,2,52.11,6.25
HW9Ogje6AlUA,1,credit_card,10,265.5,31.86
O3kEwpEBakLG,1,credit_card,1,637.49,76.50
TKwhZWStGsmY,1,wallet,1,29.9,3.59
I54x5B7ZScB4,1,credit_card,3,36.07,4.33
KOrn1FCfjiwG,1,credit_card,1,235.79,28.29
RI0Rc1aPQdUs,1,credit_card,4,277.25,33.27
q4CIb4iWNj6w,1,voucher,1,43.06,5.17
ATrYoxeRKpjR,1,credit_card,1,98.59,11.83
k1rQ3PIw3yYp,1,wallet,1,281.52,33.78
lD9HnSAxViqE,1,credit_card,1,367.2,44.06
PX1ynyV2HPjl,1,credit_card,5,150.99,18.12
Gwq3kXZ8MW3c,1,credit_card,1,631.71,75.81
W3nEEHGY8aZe,1,credit_card,3,157.28,18.87
mpXwWjfPlBSr,1,credit_card,6,3.44,0.41
xneeAgYsRUlF,1,credit_card,8,438.18,52.58
BRj5e8wXFtYd,1,credit_card,1,1435.97,172.32
fuBWf4V2Fw1v,1,credit_card,3,426.25,51.15
mpPCmbAGPedF,1,credit_card,3,899.99,108.00
yb8LxW1FVkLV,1,credit_card,15,273.54,32.82
7s3w2S5NqgHr,1,credit_card,1,236.47,28.38
nWpya4oQZL6n,1,credit_card,2,383.5,46.02
tytEgIj2Th3J,1,credit_card,3,447.62,53.71
Wa1rNI8dP7zs,1,wallet,1,197.73,23.73
fIrfCQsEFnE9,1,credit_card,10,123.02,14.76
at7rWo8KPYVJ,1,credit_card,1,143.46,17.22
PmfjmIs699a5,1,credit_card,10,183.16,21.98
Na5LA4dY4q9A,1,credit_card,10,36.23,4.35
BunZbvls0n1k,1,wallet,1,320.76,38.49
AhUvxUGYsopt,1,credit_card,10,135.1,16.21
gI9LiRm1Ryjt,1,credit_card,1,0.91,0.11
E93Sn1q2YqAV,2,voucher,1,5.75,0.69
FrByV3btkMWv,2,voucher,1,25.27,3.03
8J2PSZX0Qado,1,credit_card,6,223.72,26.85
47UxbbQPIt5G,1,credit_card,8,212.36,25.48
ojnrE1j1yZNk,1,credit_card,5,674.87,80.98
bCo6YkJgUmME,1,credit_card,1,189.92,22.79
DKYTTXy6VhNE,1,debit_card,1,113.66,13.64
nr3yNXzg551L,1,wallet,1,449.29,53.91
zErVTquqlznU,2,voucher,1,208.89,25.07
vJOB9Yahwavl,1,credit_card,1,405.83,48.70
tJN8rPKqcCsC,1,credit_card,2,1025.05,123.01
jap0obJnnAmy,1,credit_card,1,267.8,32.14
B1SS9cXxCf43,1,wallet,1,180.93,21.71
KXDoKZReRLYT,1,wallet,1,304.5,36.54
J20qFvYqnjav,1,credit_card,1,102.12,12.25
ODQVs33Hh84k,1,credit_card,1,66.46,7.98
xX2UiyxIPZSv,1,credit_card,3,9.27,1.11
xiJphil15jpi,3,voucher,1,166.39,19.97
E8OuxMoG0Q75,1,debit_card,1,253.07,30.37
FABrt78aO16I,1,credit_card,3,165.58,19.87
6b03hCPGdqkl,1,credit_card,8,91.58,10.99
Jcy2W2E0Agmu,2,voucher,1,33.48,4.02
aOYDktekeGQa,1,credit_card,3,155.03,18.60
D7VNrgEGCxnU,1,credit_card,3,395.5,47.46
rSLWWI0YOkKf,1,credit_card,4,130.07,15.61
KYO2H5mu4Wc2,5,voucher,1,33.48,4.02
HkhWA2uQbJjR,1,wallet,1,303.4,36.41
UEMavvdMBBA8,1,wallet,1,221.79,26.61
yCkVMOcqHA1A,1,credit_card,1,118.46,14.22
6wadKo4Uu9GE,1,wallet,1,100.76,12.09
8mIyPGLbfaH5,1,credit_card,10,465.08,55.81
ZEHiCVT7ZSba,1,wallet,1,390.69,46.88
oAESSZCHbW0s,1,credit_card,3,251.16,30.14
KHgfaMNh9uhy,1,wallet,1,61.02,7.32
7Tm4svxqksuZ,1,credit_card,10,928.68,111.44
nGdpUMWwEiJW,1,wallet,1,184.89,22.19
2MGiPfM1fYce,1,credit_card,10,43.72,5.25
V2mJU7eydnfg,1,wallet,1,101.32,12.16
DAYUX6uOyR75,14,voucher,1,534.25,64.11
boeIrCCs8kim,1,credit_card,4,95.01,11.40
EEGYTFIZDfBx,1,credit_card,2,66.13,7.94
BihLVZjmyN0H,1,credit_card,1,167.82,20.14
1kGGcFSFoKao,1,credit_card,6,230.14,27.62
eVFyR1qdF9cp,1,credit_card,2,51.44,6.17
ho9aYoyNRGoz,1,credit_card,2,120.28,14.43
vsQdmfvAWD0r,1,credit_card,1,425.79,51.09
NtSSqXv1Z1Wm,1,credit_card,8,318.96,38.28
ksOPq3lpCN7q,1,credit_card,2,245.4,29.45
QfDwhACQ23Xr,1,credit_card,5,234.61,28.15
u5AJRhmBLQtz,1,credit_card,5,83.22,9.99
pX5m0O1CVY5q,1,wallet,1,35.34,4.24
jyNEi4sA1XHY,1,credit_card,1,116.58,13.99
8WYnlgMCHPfg,1,wallet,1,548.08,65.77
YNo05KYxHSkK,1,credit_card,10,203.63,24.44
LlxtAAKjt6BB,1,credit_card,1,51.09,6.13
PNI2HqlPxVjC,1,wallet,1,107.01,12.84
F8EbvNo4GhiG,1,credit_card,2,27.96,3.36
oSyS0JoHQjtO,1,credit_card,1,52.15,6.26
5AI7yWNtkxDG,2,voucher,1,168.6,20.23
9bqV6nH4nfrW,1,credit_card,2,172.39,20.69
QWzeukLNfMeF,1,credit_card,1,732.29,87.87
mNxi2hOZpFeh,1,credit_card,4,109.3,13.12
Fie0ynZ7drmB,1,credit_card,1,4.07,0.49
M9fSx7DrrYb9,1,credit_card,3,180.29,21.63
Yhkot2w7WEXz,1,wallet,1,139.01,16.68
AdQYiwpmbcZs,1,credit_card,3,157.21,18.87
6QNUKHTlKzQz,1,credit_card,2,119.38,14.33
FXRNx6tgp5qm,1,credit_card,1,539.88,64.79
bJx1zp3tvlFI,1,credit_card,1,38.34,4.60
yEA6uAyJrtyn,1,credit_card,3,88.72,10.65
sWGOVCBlIYpQ,1,credit_card,8,308.81,37.06
hTsd7hsjSQkN,1,credit_card,1,252.88,30.35
7Z0hXerVDxYV,1,wallet,1,118.79,14.25
YeL4SAuZWnm6,1,credit_card,1,131.36,15.76
OGBnugiiwsQ7,1,credit_card,1,368.12,44.17
cfV2FFpdyahv,1,credit_card,3,46.28,5.55
E8AKfhtGs86K,1,wallet,1,351.25,42.15
OR0wt8h1DIKb,2,voucher,1,138.7,16.64
qHQXGVVCHZYY,1,credit_card,1,70.63,8.48
xpfzksDexXMI,1,credit_card,1,489.98,58.80
YYNavM4ecDW5,1,credit_card,3,53.51,6.42
qUt5sGnfTqfO,1,credit_card,3,367.27,44.07
RVEKyUSqDZHV,1,credit_card,1,61.08,7.33
FfgsDN9OZGuM,1,credit_card,5,365.74,43.89
sMzZJbA97sz8,1,credit_card,4,127.54,15.30
oGdO8jGWtiCD,1,credit_card,1,88.49,10.62
R4puFrZcycnq,1,credit_card,6,72.18,8.66
CetUKkHYgPya,1,credit_card,1,116.95,14.03
0d19WT6gAay3,1,credit_card,1,589.92,70.79
Biqo21nETaMO,1,credit_card,3,950,114.00
hhBKG3qil2KL,1,credit_card,1,241.36,28.96
aDnwWyOFhEJ2,1,credit_card,2,605.56,72.67
C5Vs4Tb4ozNR,1,credit_card,2,191.34,22.96
U1mAeIP72gPD,1,credit_card,1,88.61,10.63
DfUyZDa86qO9,1,credit_card,8,296.08,35.53
ZskwlJutdrsO,1,credit_card,1,169.94,20.39
n2qxYfewEQFx,1,credit_card,20,43.12,5.17
HOR4OGRLZFAi,1,credit_card,1,39.89,4.79
m1LtjhIB9CsJ,1,credit_card,1,573.78,68.85
JXMfAIkr2GMn,1,credit_card,2,40.58,4.87
ao8cwuTvK450,1,credit_card,4,23.08,2.77
0UBmWOKw8fEf,1,credit_card,3,289.32,34.72
jVdQnhB1si7w,1,credit_card,3,239.52,28.74
WWw3VcoVGQWw,3,voucher,1,1086.08,130.33
Nifv0ug4fbdY,1,credit_card,1,233.8,28.06
BUg1mBIQpkwF,1,credit_card,4,358.04,42.96
46mQB8D3v9eI,1,credit_card,2,180.62,21.67
0DLS5w2AyhwI,1,credit_card,2,77.01,9.24
PLRvoLumWbkD,1,wallet,1,67.9,8.15
oVRVeW4UOiln,1,credit_card,8,267.16,32.06
grIIIXCxNzVS,1,credit_card,10,168.57,20.23
sWOapohERXHv,1,credit_card,4,190.04,22.80
3zQxmjW6iIQM,1,credit_card,1,176.16,21.14
bL1iH5RftKa5,1,credit_card,8,128.24,15.39
qMnWT2faWgwg,1,voucher,1,37.12,4.45
VtlAs8XD0DsD,1,credit_card,1,32.02,3.84
LkbR0ufbuMHg,1,wallet,1,106.56,12.79
V8k8G52pXF97,1,wallet,1,97.95,11.75
pmsiX0dmE1rH,1,credit_card,4,90.74,10.89
roLFENE2HITq,1,credit_card,1,38.75,4.65
FrhdrgQs3oNw,1,credit_card,3,57.64,6.92
3llJ3o8c2vXh,1,wallet,1,112.56,13.51
6gqB9L4H6mTT,1,credit_card,3,52.82,6.34
rkEDCr6cFVPU,1,wallet,1,329.34,39.52
ZEA7QmAPMVfg,1,credit_card,4,699.62,83.95
TJoDeQ2Xlz5v,1,credit_card,1,128.61,15.43
Tyqe3VkvE2ia,1,credit_card,1,97.98,11.76
ozLF9m7eEm98,1,wallet,1,375,45.00
JXMbT6I9MNoO,1,credit_card,1,27.57,3.31
RHC6EUl5JcR5,1,credit_card,8,407.67,48.92
DwOeec3mPOL9,2,voucher,1,49.91,5.99
1LQsht0oRLjV,1,credit_card,10,235.69,28.28
DhYtehGRi5Ft,1,credit_card,2,196.46,23.58
Od8slGuu4iXb,1,credit_card,3,96.3,11.56
XnBRhcE8kuI9,1,credit_card,3,1816.34,217.96
wwYVWXIl3qEc,1,wallet,1,128.65,15.44
4pXD71R3zOzN,1,credit_card,1,657.05,78.85
K0NF1wdh0LvK,1,credit_card,1,461.51,55.38
6UsiVOKddOkD,1,wallet,1,12,1.44
hVDdZER4kLPK,1,credit_card,3,255.24,30.63
bHH5GqG5l1Z1,1,credit_card,1,77.01,9.24
hj982ZHuOpX2,1,credit_card,1,101.15,12.14
xmetOCIiW5xA,1,credit_card,4,389.43,46.73
AqBRn45qEWbc,1,credit_card,1,389.31,46.72
dIqUTmB6GAfq,1,credit_card,1,173.82,20.86
giwiJ531UruF,1,credit_card,1,63.38,7.61
5qBwZDA0LlFC,1,credit_card,1,21.16,2.54
SSWdznwYcP3H,1,credit_card,5,43.98,5.28
wRnAjbJ6jnUf,1,credit_card,1,256.6,30.79
I7EQbnwm1Q63,1,debit_card,1,619.44,74.33
cRMM1epfDvSR,1,credit_card,2,200.04,24.00
fuEVwCKcg8U1,1,credit_card,10,28.22,3.39
hQ9yfvzfLbcw,1,credit_card,3,90.74,10.89
VLa5YZFj2W0i,1,voucher,1,1166.43,139.97
DTJdNewgAKSE,1,credit_card,10,29.18,3.50
0XMCKHWULwyS,1,credit_card,1,29.05,3.49
g8ZrY2zT7ya4,1,credit_card,2,129.42,15.53
GOKkBcX2MRRC,1,credit_card,1,39.14,4.70
g8AatMWmKGPw,1,credit_card,1,9.31,1.12
1VAo82Ufuaol,1,wallet,1,315.66,37.88
0DF59MmccPv4,1,credit_card,1,66.7,8.00
10rJ5Zmskknk,1,credit_card,1,186.46,22.38
Zcvs2Y4jT91x,1,credit_card,1,30.3,3.64
VLMKKFKzUVf2,1,credit_card,1,87.76,10.53
U39IZgP9B2Pr,2,voucher,1,39.69,4.76
zwBAkVYfxyyQ,1,credit_card,6,133.27,15.99
4dGL3OCJqVkG,1,credit_card,8,263.78,31.65
iJXWaA3D3LXT,1,wallet,1,106.97,12.84
r8I48M6OwJcP,1,credit_card,1,170.94,20.51
PQyDjW5Yhmam,1,credit_card,2,94.43,11.33
3pCApHYAqA0t,1,credit_card,8,93.02,11.16
27m5wByUrmwi,1,credit_card,3,110.76,13.29
lkENMnhS0Mue,1,credit_card,2,127.04,15.24
OWudByJ0dr8x,1,credit_card,4,530.47,63.66
TQf1axf2lHVQ,1,wallet,1,438.26,52.59
iwqRFnkT6L9F,1,wallet,1,438.22,52.59
X09r1IAJN74u,1,credit_card,1,233.05,27.97
fDq8lkNRbhjT,1,credit_card,1,206.32,24.76
pthAHR3zwX1k,1,credit_card,3,131.03,15.72
dqLJMOWoxGtr,1,credit_card,2,354.23,42.51
4RqmOiHxYk5j,1,credit_card,2,242.1,29.05
WKD2izUQvi6X,1,credit_card,1,219.46,26.34
kF1s9JGOD3SG,1,credit_card,2,340.24,40.83
hZvtvOu6GZ9X,1,credit_card,1,147.73,17.73
iC6vks75waN1,1,wallet,1,506.46,60.78
ATo4U0L18MV4,1,credit_card,1,1016.06,121.93
ThqqOmxw1IuW,2,voucher,1,355.58,42.67
7K3rCKgQmI5v,1,credit_card,2,217.82,26.14
LombvAfyS2hZ,1,credit_card,2,128.22,15.39
rGp7A3FZPgjV,1,credit_card,2,177.44,21.29
PA5kLl3m686D,1,credit_card,1,89.61,10.75
rIobcSQlTAIN,1,credit_card,3,117.43,14.09
sQmJgSBLPonq,1,credit_card,1,365.85,43.90
bhpKla1yGfy8,1,wallet,1,210.54,25.26
YAEyeHY8GiXF,1,credit_card,1,183.56,22.03
FUhKtZT2K0Im,1,credit_card,3,217.82,26.14
YMfgkNmDC5X2,1,credit_card,4,1710.18,205.22
D26ZAsmExW98,1,credit_card,2,401.09,48.13
uWothCpUmPXk,1,credit_card,1,55.79,6.69
Z1nz0kUUoHho,1,credit_card,2,162.7,19.52
rR0Zp9oGMM7X,1,wallet,1,187.53,22.50
n3qPTf4Z5GHE,1,credit_card,2,500.17,60.02
8B9D23A6KuJE,1,credit_card,4,1130.03,135.60
AGIPGCIf811D,1,credit_card,4,401.09,48.13
BVjnauNHsi9I,1,credit_card,1,63.78,7.65
aXRVCAK6zK0x,1,wallet,1,163.85,19.66
g9TR3ScQLhNJ,1,credit_card,4,340.04,40.80
4qwPCoOeF6u1,1,credit_card,5,61.12,7.33
SqBjEWXOdARn,1,credit_card,1,98.43,11.81
gmBqwCtFPGJA,1,credit_card,2,279.38,33.53
lu7SqEkTkyUy,1,credit_card,4,531.73,63.81
6Y0NFk6NUvGl,1,wallet,1,288.88,34.67
DPRRGG9csbKJ,1,credit_card,1,128.54,15.42
7BjykpQE7QRT,1,credit_card,10,505.12,60.61
SmMitqaEsuWO,1,wallet,1,328.76,39.45
7HwO6wJIYehF,1,credit_card,1,1003.76,120.45
qR7cDAcwcTOq,1,wallet,1,95.01,11.40
rcCgzGeUV0tH,1,wallet,1,683.97,82.08
i9OYulaEKdyi,1,credit_card,1,363.2,43.58
36kRQWTAsprF,1,credit_card,8,91.12,10.93
2dWPVJZxwi1t,1,wallet,1,318.25,38.19
H2sbmSsuHq2V,1,wallet,1,233.46,28.02
xj31p7wHOd6X,2,voucher,1,145.48,17.46
SoQynNVGWmGN,1,wallet,1,52.33,6.28
9U8Q6btOgIlI,1,credit_card,2,16.28,1.95
NQuyw3LJgPgc,1,credit_card,5,328.72,39.45
Re014mariwwi,1,credit_card,6,1006.77,120.81
djhHtQyPdTWI,1,credit_card,6,104.89,12.59
vgZoQIXiEWps,1,credit_card,8,131.43,15.77
FBBEfDzPKZG9,1,credit_card,1,389.45,46.73
PmtQlxTGKPcA,1,wallet,1,305.43,36.65
t4nJirEExSQ1,1,credit_card,1,666.68,80.00
6pnw4hyUDAML,1,wallet,1,301.35,36.16
8imv30tsvjS6,1,credit_card,1,165.25,19.83
AN0LPeDjWUza,1,credit_card,4,148.17,17.78
iuJIJeB4vf0M,1,credit_card,6,66.1,7.93
v6heTvA4ecgM,1,credit_card,1,235.19,28.22
2z0J1TsDQcfv,1,wallet,1,782.26,93.87
TeZ0nzyvsRRN,1,wallet,1,255.08,30.61
bY2cGOI6XpVK,1,credit_card,2,271.28,32.55
NzTOIsBiUKrl,1,credit_card,2,152.04,18.24
aVIcG7VKLPWV,1,credit_card,4,166.62,19.99
VFDder0yq9I9,1,credit_card,4,806.69,96.80
8GeclE4Rp2QR,1,credit_card,8,196.74,23.61
mlof9iBBk8YB,1,credit_card,3,103.83,12.46
cl0NeDXDu7fb,1,credit_card,3,94.21,11.31
GFTwjcw6q56j,3,voucher,1,61.02,7.32
9KtbBt5zy7sx,1,credit_card,2,254.76,30.57
eWUac9oeh1tv,1,wallet,1,274.81,32.98
8lM7XW1XJ9eM,1,credit_card,10,4.45,0.53
y9rnhHHoMPVi,1,wallet,1,4.88,0.59
9HRvyYtiYj08,1,credit_card,2,201.53,24.18
RXr0Pq0a2arg,1,credit_card,8,145.95,17.51
2QIVkkyZ8RSQ,1,credit_card,6,102.41,12.29
V31QKgYddF4p,1,voucher,1,34.79,4.17
VTZa4KTg0syY,1,credit_card,2,73.05,8.77
t11DDNtIIXGr,1,credit_card,1,118.79,14.25
tCK55o06SO34,2,voucher,1,30.09,3.61
aHzSMYk4vQMK,2,voucher,1,107.55,12.91
BUPnDHEpTEYw,1,wallet,1,170.34,20.44
P3Yh81rTtDQb,1,credit_card,8,440.17,52.82
7StTr6G9uVcV,1,credit_card,1,157.46,18.90
p8erECFNyNYX,10,voucher,1,25.49,3.06
L3T6OJnjTlXb,3,voucher,1,727.98,87.36
N3fIfitoQtmP,1,wallet,1,542.66,65.12
43VT6pfqVWQq,1,credit_card,2,86.96,10.44
Rmc3vFluFqEi,1,voucher,1,206.2,24.74
USsox4oIQaVK,1,wallet,1,91.48,10.98
e2rxoTN4dHYl,1,credit_card,1,50.17,6.02
e0odnJSmEDtd,2,voucher,1,193.47,23.22
KyhVyjIwoxUR,1,credit_card,2,173.89,20.87
4BD1mwqdmeWP,1,credit_card,1,80.85,9.70
1HoooFCAAipF,1,wallet,1,428.08,51.37
ujfwoQlALhEM,1,credit_card,3,55.43,6.65
DU2VQZyo6GkN,1,credit_card,6,94.42,11.33
hSaoyGZch9Z5,1,credit_card,1,192.83,23.14
yeJWwvlsVv2K,1,credit_card,6,70.11,8.41
Kzj2zW9ALdOn,1,credit_card,1,164.83,19.78
oDs5nEXNL9lV,1,credit_card,2,255.97,30.72
lDzWKIMnMQRe,1,credit_card,3,62.04,7.44
qVNLeUroeLzd,1,credit_card,1,539.94,64.79
hpGrV8BgZ2Ga,1,wallet,1,9.84,1.18
DSy03UmxuvNm,1,credit_card,6,74.29,8.91
