order_id,product_id,seller_id,product_category_name,price,shipping_charges,product_weight_g,product_length_cm,product_height_cm,product_width_cm
gI9LiRm1Ryjt,1edaUIVffPFF,coi9xkdo66JI,watches_gifts,49.31,29.31,584,16,11,13
E93Sn1q2YqAV,orUwK0JfotYQ,AvTLykupHOIB,toys,66,22.18,300,40,4,30
FrByV3btkMWv,rymjv5HRykTB,2Vzr14MB7bRD,perfumery,100,41.63,249,19,13,15
8J2PSZX0Qado,1JgqZUMnHeh7,EmVwqW8hWMQ7,toys,47.02,14.68,600,16,2,11
47UxbbQPIt5G,i8rOWNVCU8SG,X5fhqRmuvQ9Z,toys,914,20.11,200,17,11,15
ojnrE1j1yZNk,1ffebT9EkzfW,HaUIinFOemaU,health_beauty,126.69,13.66,300,19,12,13
bCo6YkJgUmME,tzs5x0lLkB4v,7OKhjPME8ZK3,toys,150.82,27.56,117,21,12,13
DKYTTXy6VhNE,ESxhVTp3TExr,EqPcJSwcfSMn,toys,100,16.76,100,20,20,20
nr3yNXzg551L,WRnS90YSEbaf,EGpv4plsYpt1,toys,820.05,12.28,200,29,7,16
zErVTquqlznU,y2MAnns4G96G,7OKhjPME8ZK3,computers_accessories,95.03,68.61,207,19,11,14
vJOB9Yahwavl,tXJHUVp8RdE6,cUodQhgpRajF,housewares,509.99,12.28,1270,17,14,17
tJN8rPKqcCsC,fgZthIy5sipF,AU9arwujlHdc,toys,149.55,32.34,200,14,13,12
jap0obJnnAmy,sFXdhNPN6lcL,quRHu0B8Aaes,toys,679,13.54,2725,43,50,28
B1SS9cXxCf43,J5Psrq96uL2D,9fFFM6RBxCkT,toys,264.5,18.4,1850,30,30,30
KXDoKZReRLYT,PFZYJm6Ju6Cb,2UV2zaeUhNyA,sports_leisure,95.03,6.54,2120,26,25,25
J20qFvYqnjav,pEOKGWW2dBY3,pAOttUyt5jAq,toys,2600,47.55,300,16,30,20
ODQVs33Hh84k,oW6KDobidlmB,RKad98cTxhSb,toys,56.89,22.56,950,45,15,35
xX2UiyxIPZSv,ruksAzpogPAJ,yGbPyLPc8PmT,toys,106.74,24.99,250,16,2,20
xiJphil15jpi,blPFUTjOGNza,RKad98cTxhSb,toys,509.99,67.11,700,45,15,35
E8OuxMoG0Q75,lZfc4Rcm9yEU,l1pYW6GBnPMr,toys,779.9,36.51,250,17,4,12
FABrt78aO16I,o6Na5dqQ8W2g,coi9xkdo66JI,watches_gifts,95.17,12.86,314,18,11,14
6b03hCPGdqkl,VcRU5d314wk8,RlOHlMxGbwXj,toys,148.5,93.52,16550,22,65,40
Jcy2W2E0Agmu,CgiKx9mLmcsp,2jTASjIU2rIf,sports_leisure,48.65,72.52,800,27,12,14
aOYDktekeGQa,jjO7ZavQamGy,tQFHgEUSAMiP,toys,54.5,59.62,600,50,8,40
D7VNrgEGCxnU,JluFNsoIYaG0,h4lcTgJTuj7f,toys,56.89,6.08,300,16,6,14
rSLWWI0YOkKf,c80mGAlXdCTR,4nyyi5gifVI6,toys,2799.65,149.06,389,27,33,28
KYO2H5mu4Wc2,FgsLb5eMMaQv,YVBAT3QqF9Qj,toys,55.83,38.58,1400,45,30,20
HkhWA2uQbJjR,x7LQ6tCvXa0m,6SEfGu8XEXxz,toys,347.45,47.5,1038,41,22,28
UEMavvdMBBA8,Ffe8gTdmyO3U,4cJY064rRFhL,toys,107.63,16.67,533,22,11,20
yCkVMOcqHA1A,HgPeZx2cXbNh,HQ4j3Fr6B61e,toys,252.99,17.51,5000,61,34,36
6wadKo4Uu9GE,7BEUiOxC03oh,nKBsxjDoWKEM,toys,179.4,133.52,500,16,18,16
8mIyPGLbfaH5,ecpXxsHx9yeV,EocZxKiaVbJJ,toys,283.2,89.34,6200,76,28,18
ZEHiCVT7ZSba,wPUdAGg8JMPE,e04MSACAuPpW,toys,564.99,51.45,400,30,30,40
oAESSZCHbW0s,x5cG8pNAAlzt,QhAQIjqbj3Ou,auto,129.77,92.03,1300,21,11,16
KHgfaMNh9uhy,YVfSZ6AGWq2b,UsPT5m7V2m8I,toys,65.06,34.33,100,16,10,16
7Tm4svxqksuZ,w47Os1mXLhR7,80PfrXwjDKzL,toys,51.2,73.56,1200,28,5,18
nGdpUMWwEiJW,jXEbnLl3rA9M,d3UkhSmgUAO1,toys,802.14,16.06,1750,50,20,50
2MGiPfM1fYce,u2yFcYxEYD3S,kJEFisr2CqPX,toys,115.32,29.06,2300,40,20,30
V2mJU7eydnfg,mKCML8bJ9XFK,vRdYN1O3TVgG,telephony,31,32.34,300,16,2,11
DAYUX6uOyR75,sB3mH3n4QEcI,hmS6KkvxMbyF,toys,109.6,37.81,1300,50,9,41
boeIrCCs8kim,zXA7JMshoWTW,2Vzr14MB7bRD,toys,75.25,12,2000,20,40,30
EEGYTFIZDfBx,zHp21bETKvVI,7afyCfXk0O0m,bed_bath_table,72.4,19.96,450,16,10,16
BihLVZjmyN0H,H7Jow3IJvnEB,FRAkUwkY4tZy,toys,82.91,31.53,13325,41,42,47
1kGGcFSFoKao,m2BXGAfmaOtK,k6Ksam5fmXKf,toys,28.82,27.8,450,20,10,15
eVFyR1qdF9cp,rZmvB2yPujM0,VMcUj3BxBji6,toys,134.57,51.45,300,16,20,15
ho9aYoyNRGoz,cTBa7ZYgU5YF,VbjjOcDj2sUH,toys,42.89,140.52,550,24,13,20
vsQdmfvAWD0r,GhHaQE7pQ8l0,Sw86en7yweGi,toys,243,38.63,2050,20,15,20
NtSSqXv1Z1Wm,l1MvfyxTwnwn,XqqjgjqJKquz,toys,222.4,22.02,12500,35,30,30
ksOPq3lpCN7q,VIzCnu7ZJnPS,2EBnmKLQ6faA,toys,26.77,32.62,7750,34,33,33
QfDwhACQ23Xr,GwC5CQRLSWF4,VnAPb1lEZYQ6,toys,459,17.42,1500,55,5,16
